"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008519","ammonium channel activity","1/12","10/28366",0.1,236.383333333333,15.3153904916456,0.00422304109720173,0.0387917824810003,0.0195290438119453,"Aqp8",1
"GO:0005275","amine transmembrane transporter activity","1/12","11/28366",0.0909090909090909,214.893939393939,14.5967054839732,0.00464444480388926,0.0387917824810003,0.0195290438119453,"Aqp8",1
"GO:0008093","cytoskeletal anchor activity","1/12","11/28366",0.0909090909090909,214.893939393939,14.5967054839732,0.00464444480388926,0.0387917824810003,0.0195290438119453,"Map1a",1
"GO:0015250","water channel activity","1/12","11/28366",0.0909090909090909,214.893939393939,14.5967054839732,0.00464444480388926,0.0387917824810003,0.0195290438119453,"Aqp8",1
"GO:0016670","oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor","1/12","12/28366",0.0833333333333333,196.986111111111,13.9695880833503,0.00506568503179772,0.0387917824810003,0.0195290438119453,"Ero1b",1
"GO:0005372","water transmembrane transporter activity","1/12","14/28366",0.0714285714285714,168.845238095238,12.9227827018374,0.00590767528188629,0.0387917824810003,0.0195290438119453,"Aqp8",1
"GO:0016717","oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water","1/12","15/28366",0.0666666666666667,157.588888888889,12.4795012961279,0.00632842541932299,0.0387917824810003,0.0195290438119453,"Scd1",1
"GO:0038191","neuropilin binding","1/12","17/28366",0.0588235294117647,139.049019607843,11.7128819151233,0.00716943600699105,0.0387917824810003,0.0195290438119453,"Sema3e",1
"GO:0030297","transmembrane receptor protein tyrosine kinase activator activity","1/12","18/28366",0.0555555555555556,131.324074074074,11.3782255366528,0.00758969657236963,0.0387917824810003,0.0195290438119453,"Tgfa",1
"GO:0030215","semaphorin receptor binding","1/12","23/28366",0.0434782608695652,102.775362318841,10.045198340188,0.00968855441602545,0.0445673503137171,0.0224366523318484,"Sema3e",1
