"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Development and regeneration","mmu04360","Axon guidance","2/10","181/10563",0.0110497237569061,11.6718232044199,4.45781980684222,0.012004336079471,0.183452338510205,0.182072997619151,"Srgap3/Sema3e",2
"Metabolism","Lipid metabolism","mmu01040","Biosynthesis of unsaturated fatty acids","1/10","35/10563",0.0285714285714286,30.18,5.32269381207356,0.0326585213277284,0.183452338510205,0.182072997619151,"Scd1",1
"Metabolism","Global and overview maps","mmu01212","Fatty acid metabolism","1/10","62/10563",0.0161290322580645,17.0370967741936,3.89844469875803,0.0571928735204911,0.183452338510205,0.182072997619151,"Scd1",1
"Genetic Information Processing","Information processing in viruses","mmu03250","Viral life cycle - HIV-1","1/10","63/10563",0.0158730158730159,16.7666666666667,3.86367531939323,0.0580906995622766,0.183452338510205,0.182072997619151,"Map1a",1
"Human Diseases","Cancer: specific types","mmu05211","Renal cell carcinoma","1/10","70/10563",0.0142857142857143,15.09,3.64078714592684,0.0643539668403268,0.183452338510205,0.182072997619151,"Tgfa",1
"Human Diseases","Cancer: specific types","mmu05223","Non-small cell lung cancer","1/10","72/10563",0.0138888888888889,14.6708333333333,3.58292655546386,0.0661365737902031,0.183452338510205,0.182072997619151,"Tgfa",1
"Cellular Processes","Cell growth and death","mmu04115","p53 signaling pathway","1/10","75/10563",0.0133333333333333,14.084,3.50033765786376,0.0688047534083828,0.183452338510205,0.182072997619151,"Serpine1",1
"Human Diseases","Cancer: specific types","mmu05214","Glioma","1/10","75/10563",0.0133333333333333,14.084,3.50033765786376,0.0688047534083828,0.183452338510205,0.182072997619151,"Tgfa",1
"Human Diseases","Cancer: specific types","mmu05212","Pancreatic cancer","1/10","76/10563",0.0131578947368421,13.8986842105263,3.4738549850076,0.0696926207296945,0.183452338510205,0.182072997619151,"Tgfa",1
"Human Diseases","Drug resistance: antineoplastic","mmu01521","EGFR tyrosine kinase inhibitor resistance","1/10","80/10563",0.0125,13.20375,3.37272254298075,0.0732364761009853,0.183452338510205,0.182072997619151,"Tgfa",1
