"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","mmu04110","Cell cycle","29/461","157/10563",0.184713375796178,4.23238045235365,8.7166628703271,2.92240029289511e-11,9.11788891383274e-09,7.90586184498993e-09,"Aurkb/Ccnb2/Myc/Ccnb1/Mad2l1/Ccna2/Cdk1/Cdc20/Bub1b/Bub1/Cdca5/E2f2/Cdkn2d/Esco2/Cdc25b/Knl1/Cdkn2c/Sgo1/Ccnd2/Pttg1/Fbxo5/Ttk/Cdc25c/Plk1/Ndc80/Prkdc/Ccne1/Gadd45b/Cdc14b",29
"Metabolism","Energy metabolism","mmu00190","Oxidative phosphorylation","19/461","141/10563",0.134751773049645,3.08759865232843,5.33090437049198,1.12728608844837e-05,0.00175856629797945,0.00152480276174332,"mt-Nd4/mt-Cytb/mt-Nd6/Cox7a2/Ndufc2/Uqcrq/Uqcr11/Sdhc/mt-Nd5/Atp6v1g2/Ndufb8/mt-Co1/Ndufa4/Ndufs5/Ndufc1/Ndufb9/Ndufb1/Atp5me/mt-Nd4l",19
"Human Diseases","Neurodegenerative disease","mmu05020","Prion disease","28/461","273/10563",0.102564102564103,2.3500750876022,4.82782391596331,2.25022713467444e-05,0.00234023622006142,0.00202915218810993,"Tuba1b/Il6/Creb3l1/mt-Nd4/Tuba1a/mt-Cytb/Grin2d/mt-Nd6/Cox7a2/Ndufc2/Uqcrq/Uqcr11/Sdhc/Itpr2/mt-Nd5/Hspa5/Ndufb8/Prnp/mt-Co1/Itpr1/Slc25a4/Ndufa4/Ndufs5/Ndufc1/Ndufb9/Ndufb1/mt-Nd4l/Cav2",28
"Cellular Processes","Cell growth and death","mmu04218","Cellular senescence","21/461","183/10563",0.114754098360656,2.62938729063689,4.74975331738591,4.72505382681034e-05,0.0032096821299303,0.00278302397905563,"Ccnb2/Myc/Ccnb1/Ccna2/Cdk1/Calm3/Il6/Hipk2/E2f2/Itpr2/Foxm1/Zfp36l2/Ccnd2/Itpr1/Slc25a4/Nfatc2/H2-T3/Map2k6/Ccne1/H2-Q7/Gadd45b",21
"Cellular Processes","Cell motility","mmu04814","Motor proteins","22/461","198/10563",0.111111111111111,2.54591467823572,4.69086921723099,5.14372136206779e-05,0.0032096821299303,0.00278302397905563,"Kif11/Tuba1b/Kifc3/Tuba1a/Kif15/Kif2c/Kif20a/Myo1e/Dynll1/Kif14/Kif4/Kifc1/Kif22/Myh9/Kif20b/Cenpe/Myo7a/Kif23/Kif18a/Tpm4/Myo19/Dnah17",22
"Cellular Processes","Cell growth and death","mmu04114","Oocyte meiosis","16/461","123/10563",0.130081300813008,2.9805830379345,4.71970901602338,8.50414478490978e-05,0.00442215528815309,0.00383432492933652,"Ccnb2/Ccnb1/Mad2l1/Cdk1/Calm3/Cdc20/Bub1/Aurka/Itpr2/Sgo1/Pttg1/Itpr1/Fbxo5/Cdc25c/Plk1/Ccne1",16
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection","23/461","228/10563",0.100877192982456,2.31142253681927,4.27636422760352,0.000155018995778857,0.00625950412773704,0.00542743778956956,"Myc/Ccna2/Il6/E2f2/Bcl2/Calr/Ncor2/Ccnd2/Tap1/Sap30/H2-DMb2/Oas1a/H2-T3/H2-Oa/Tlr2/H2-Eb1/Map2k6/Ccne1/H2-Q7/H2-Ab1/Gadd45b/Stat1/Blnk",23
"Human Diseases","Neurodegenerative disease","mmu05012","Parkinson disease","26/461","274/10563",0.0948905109489051,2.17424830185094,4.206961143415,0.000160500105839411,0.00625950412773704,0.00542743778956956,"Slc18a2/Tuba1b/Calm3/mt-Nd4/Tuba1a/mt-Cytb/mt-Nd6/Cox7a2/Ndufc2/Uqcrq/Uqcr11/Sdhc/Itpr2/mt-Nd5/Hspa5/Ndufb8/mt-Co1/Itpr1/Slc25a4/Ndufa4/Ube2l6/Ndufs5/Ndufc1/Ndufb9/Ndufb1/mt-Nd4l",26
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","14/461","109/10563",0.128440366972477,2.9429839399789,4.3557312335381,0.00026688585208169,0.00925204287216524,0.00802218292222155,"Il10ra/Bcl2/Lama5/Ifngr2/H2-DMb2/H2-Oa/Tlr2/H2-Eb1/Igtp/Irgm1/Map2k6/Irgm2/H2-Ab1/Stat1",14
"Genetic Information Processing","Replication and repair","mmu03460","Fanconi anemia pathway","9/461","52/10563",0.173076923076923,3.96575171032872,4.57967127141161,0.000366337825401016,0.0107465446811794,0.00931802288482832,"Cenpx/Slx4/Fancd2/Fanci/Brip1/Eme1/Fancb/Rad51c/Eme2",9
