"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","chromosome segregation","65/1105","434/28832",0.149769585253456,3.90783410138249,12.1851299062549,4.1227677037757e-21,2.19042648101603e-17,1.63391793733847e-17,"Ccnb2/Kif11/Birc5/Top2a/Gem/Ccnb1/Tacc3/Ube2c/Aurkb/Mki67/Racgap1/Cenpx/Cdk1/Knstrn/Nusap1/Aspm/Bub1/Nuf2/Bub1b/Kif22/Dlgap5/Ncaph/Knl1/Spag5/Ect2/Ncapg2/Kif14/Kif15/Cenpe/Cenpf/Kif4/Kif2c/Aurka/Spc24/Spc25/Fancd2/Ncapg/Nek2/Cdca5/Gen1/Esco2/Akap8l/Snhg15/Brip1/Ndc80/Ccne1/Ska2/Fbxo5/Pttg1/Cenpn/Gpsm2/Cenpi/Ska1/Cenpm/Meiob/Spdl1/Lzts2/Haus8/Sgo2a/Fam83d/Hspa1b/Prickle1/Cenpp/Mnd1/M1ap",65
"GO:0000280","nuclear division","66/1105","466/28832",0.141630901287554,3.69547705513371,11.7108683616204,4.31431133355567e-20,1.14609680575906e-16,8.54914851096689e-17,"Ccnb2/Kif11/Calr/Birc5/Top2a/Ccnb1/Lif/Ube2c/Aurkb/Mki67/Racgap1/Cenpx/Cdk1/Knstrn/Nusap1/Aspm/Bub1/Nuf2/Bub1b/Kif22/Ncaph/Knl1/Spag5/Ncapg2/Kif14/Kif15/Cenpe/Kif4/Kif2c/Aurka/Spc24/Spc25/Fancd2/Cdc25b/Ncapg/Nek2/Cdca5/Gen1/Akap8l/Nfix/Snhg15/Brip1/Ndc80/Ccne1/Mastl/Ska2/Plcb1/Tnf/Fbxo5/Pttg1/Cenpi/Ska1/Meiob/Spdl1/Cav2/Eme2/Sgo2a/Cdc14b/Piwil2/Top6bl/Hspa1b/Egf/Prickle1/Rpl24/Mnd1/M1ap",66
"GO:0098813","nuclear chromosome segregation","54/1105","325/28832",0.166153846153846,4.33533727810651,12.0716109673597,7.94776803783196e-20,1.40754971950004e-16,1.0499419881557e-16,"Ccnb2/Kif11/Birc5/Top2a/Gem/Ccnb1/Tacc3/Ube2c/Aurkb/Racgap1/Cdk1/Knstrn/Nusap1/Aspm/Bub1/Nuf2/Bub1b/Kif22/Ncaph/Knl1/Spag5/Ect2/Ncapg2/Kif14/Kif15/Cenpe/Cenpf/Kif4/Kif2c/Aurka/Spc24/Spc25/Fancd2/Ncapg/Nek2/Cdca5/Gen1/Akap8l/Snhg15/Brip1/Ndc80/Ccne1/Ska2/Fbxo5/Pttg1/Cenpi/Ska1/Meiob/Spdl1/Fam83d/Hspa1b/Prickle1/Mnd1/M1ap",54
"GO:0000070","mitotic sister chromatid segregation","38/1105","189/28832",0.201058201058201,5.24607244607245,11.6914560448286,3.49605445180327e-17,4.6436343256077e-14,3.46385395027351e-14,"Kif11/Birc5/Ccnb1/Ube2c/Aurkb/Racgap1/Cdk1/Knstrn/Nusap1/Bub1/Nuf2/Bub1b/Kif22/Ncaph/Knl1/Spag5/Ncapg2/Kif14/Kif15/Cenpe/Kif4/Kif2c/Spc24/Spc25/Ncapg/Nek2/Cdca5/Gen1/Akap8l/Snhg15/Ndc80/Ska2/Fbxo5/Cenpi/Ska1/Spdl1/Hspa1b/Prickle1",38
"GO:0140014","mitotic nuclear division","46/1105","281/28832",0.163701067615658,4.27133862578702,11.000883115695,7.95544055847274e-17,8.45345113743313e-14,6.30573341108418e-14,"Kif11/Birc5/Ccnb1/Ube2c/Aurkb/Mki67/Racgap1/Cdk1/Knstrn/Nusap1/Bub1/Nuf2/Bub1b/Kif22/Ncaph/Knl1/Spag5/Ncapg2/Kif14/Kif15/Cenpe/Kif4/Kif2c/Aurka/Spc24/Spc25/Ncapg/Nek2/Cdca5/Gen1/Akap8l/Nfix/Snhg15/Ndc80/Ska2/Tnf/Fbxo5/Cenpi/Ska1/Spdl1/Cav2/Cdc14b/Hspa1b/Egf/Prickle1/Rpl24",46
"GO:0000819","sister chromatid segregation","40/1105","229/28832",0.174672489082969,4.55760833053409,10.7902034239242,8.52809228789117e-16,7.55162572092763e-13,5.63302937963338e-13,"Kif11/Birc5/Top2a/Ccnb1/Tacc3/Ube2c/Aurkb/Racgap1/Cdk1/Knstrn/Nusap1/Bub1/Nuf2/Bub1b/Kif22/Ncaph/Knl1/Spag5/Ncapg2/Kif14/Kif15/Cenpe/Kif4/Kif2c/Spc24/Spc25/Ncapg/Nek2/Cdca5/Gen1/Akap8l/Snhg15/Ndc80/Ska2/Fbxo5/Cenpi/Ska1/Spdl1/Hspa1b/Prickle1",40
"GO:0051310","metaphase chromosome alignment","26/1105","102/28832",0.254901960784314,6.65098039215686,11.4134154022213,8.65317286894205e-15,6.56775820752702e-12,4.89912719572434e-12,"Birc5/Gem/Ccnb1/Aurkb/Racgap1/Cdk1/Knstrn/Nuf2/Kif22/Knl1/Spag5/Ect2/Kif14/Cenpe/Cenpf/Kif2c/Spc24/Spc25/Nek2/Cdca5/Snhg15/Ndc80/Ska2/Ska1/Spdl1/Fam83d",26
"GO:0045787","positive regulation of cell cycle","49/1105","359/28832",0.136490250696379,3.56134561817013,9.74896128084048,1.3215974160698e-14,8.77705883947353e-12,6.54712404145103e-12,"Myc/Calr/Rrm2/Birc5/Ccnb1/Ccnd2/Cited2/Ube2c/Aurkb/Racgap1/Cdk1/Nusap1/Bub1/Foxg1/Ncaph/Knl1/Spag5/Ect2/Flt3l/Ncapg2/Kif14/E2f8/Cenpe/Aurka/Cdc25b/Cdca5/Gen1/Adamts1/Ndc80/Ccne1/Bard1/Plcb1/Tnf/Fbxo5/Gpsm2/Ska1/Cdc25c/Ppp1r35/E2f7/Sgo2a/Nr4a3/Ccnd1/Cdc14b/Piwil2/Rad51b/Fam83d/Hes1/Gli1/Egf",49
"GO:0008608","attachment of spindle microtubules to kinetochore","19/1105","51/28832",0.372549019607843,9.72066365007542,12.4434622767023,1.58631369058879e-14,9.36453848677581e-12,6.9853462515401e-12,"Birc5/Ccnb1/Aurkb/Racgap1/Cdk1/Knstrn/Nuf2/Knl1/Spag5/Ect2/Cenpe/Kif2c/Spc24/Spc25/Nek2/Snhg15/Ndc80/Ska2/Ska1",19
"GO:0044772","mitotic cell cycle phase transition","55/1105","447/28832",0.123042505592841,3.2104629151609,9.40268953100898,2.76282633528592e-14,1.46788963193741e-11,1.09495170024753e-11,"Myc/Ccnb2/Zfp36l2/Rrm2/Calm1/Birc5/Calm3/Ccnb1/Ccnd2/Tacc3/Ube2c/Aurkb/Ccna2/Cdk1/Plk3/Bcl2/Bub1/Nuf2/Bub1b/Pkd1/Knl1/Kif14/Foxm1/Cdkn2d/Cenpe/Cenpf/Spc24/Spc25/Cdc25b/Tcf19/Cdca5/Gen1/Cdkn2c/Trim39/Adamts1/Nfix/Myb/Ndc80/Ccne1/Mastl/Prkcq/Bard1/Plcb1/Fbxo5/Ctdspl/Ska1/Spdl1/Cdc25c/Xpc/E2f7/Ccnd1/Cdc14b/Rad51b/Kank2/Rpl24",55
