"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name","description"
"ENSMUSG00000032578",5695.66587306031,2.4713732353069,0.0864162913350926,28.5984644460588,7.02074301085864e-180,1.24246089063165e-175,"Cish","cytokine inducible SH2-containing protein [Source:MGI Symbol;Acc:MGI:103159]"
"ENSMUSG00000025746",2719.88216417142,2.75759108564726,0.119623771821391,23.0521997731737,1.39804257969953e-117,1.23705797664713e-113,"Il6","interleukin 6 [Source:MGI Symbol;Acc:MGI:96559]"
"ENSMUSG00000112148",9500.04393291931,1.80821431863114,0.0825976537886087,21.8918363378563,3.1074106066554e-106,1.83306151686602e-102,"Lilrb4a","leukocyte immunoglobulin-like receptor, subfamily B, member 4A [Source:MGI Symbol;Acc:MGI:102701]"
"ENSMUSG00000000056",2281.00966979103,-1.94555499733702,0.0891196292095268,-21.8308246409203,1.1826773955194e-105,5.23246046712673e-102,"Narf","nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]"
"ENSMUSG00000112023",29007.225671002,1.41160555303103,0.0682421986694456,20.6852296753893,4.70528152343663e-95,1.66538734240516e-91,"Lilrb4b","leukocyte immunoglobulin-like receptor, subfamily B, member 4B [Source:MGI Symbol;Acc:MGI:102702]"
"ENSMUSG00000022305",7549.79327197772,1.31059928623152,0.0644798005794015,20.3257341749628,7.6141511729032e-92,2.2457938884478e-88,"Lrp12","low density lipoprotein-related protein 12 [Source:MGI Symbol;Acc:MGI:2443132]"
"ENSMUSG00000022346",13883.925715447,1.48000441518636,0.0733527463332831,20.176537200964,1.57393422964198e-90,3.97913058028201e-87,"Myc","myelocytomatosis oncogene [Source:MGI Symbol;Acc:MGI:97250]"
"ENSMUSG00000034394",5982.76790818977,1.79901030622783,0.089272576119838,20.151880727771,2.59081755324921e-90,5.7312122799814e-87,"Lif","leukemia inhibitory factor [Source:MGI Symbol;Acc:MGI:96787]"
"ENSMUSG00000048376",26143.2391514055,1.25410431558313,0.0626795384106074,20.008193221967,4.67280496778781e-89,9.18829216832676e-86,"F2r","coagulation factor II thrombin receptor [Source:MGI Symbol;Acc:MGI:101802]"
"ENSMUSG00000064147",15328.4805741704,1.35132862289178,0.0681047265787408,19.8419212700225,1.29417172608035e-87,2.29029570364439e-84,"Rab44","RAB44, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:3045302]"
"ENSMUSG00000063873",4789.04999766035,1.55156341198494,0.0810856413705877,19.1348725342603,1.29395381297902e-81,2.0817364207536e-78,"Slc24a3","solute carrier family 24 (sodium/potassium/calcium exchanger), member 3 [Source:MGI Symbol;Acc:MGI:2137513]"
