"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name","description"
"ENSMUSG00000030103",11004.582355906,-1.1985381186421,0.0429861487638875,-27.8819608898992,4.41552119259409e-171,6.4453362848296e-167,"Bhlhe40","basic helix-loop-helix family, member e40 [Source:MGI Symbol;Acc:MGI:1097714]"
"ENSMUSG00000019122",2513.22563971482,-2.42007699134851,0.0872962623527916,-27.7225728355724,3.73229417675378e-169,2.72401490490375e-165,"Ccl9","C-C motif chemokine ligand 9 [Source:MGI Symbol;Acc:MGI:104533]"
"ENSMUSG00000071714",202494.84324534,-0.93047545204257,0.0344894292208885,-26.9785691750163,2.63745413594428e-160,1.28329726741262e-156,"Csf2rb2","colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage) [Source:MGI Symbol;Acc:MGI:1339760]"
"ENSMUSG00000002565",4188.83829042527,-1.65288703040464,0.0631778613897313,-26.1624403556226,7.11449691492957e-151,2.59625778668067e-147,"Scin","scinderin [Source:MGI Symbol;Acc:MGI:1306794]"
"ENSMUSG00000005672",28606.5947100398,-1.37074271454161,0.0566006864540308,-24.2177754443824,1.44567624215174e-129,4.22050722133778e-126,"Kit","KIT proto-oncogene receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:96677]"
"ENSMUSG00000112023",35632.2154301291,-0.975057652526837,0.0410933899347749,-23.7278465970923,1.86077011847739e-124,4.52694356990241e-121,"Lilrb4b","leukocyte immunoglobulin-like receptor, subfamily B, member 4B [Source:MGI Symbol;Acc:MGI:102702]"
"ENSMUSG00000112148",11793.9904582642,-1.23530197690266,0.0520885018851621,-23.715444526051,2.49854597446467e-124,5.21018222703725e-121,"Lilrb4a","leukocyte immunoglobulin-like receptor, subfamily B, member 4A [Source:MGI Symbol;Acc:MGI:102701]"
"ENSMUSG00000040204",6479.61369454177,1.25423150277233,0.0554276502238834,22.6282640109446,2.28419759840685e-113,4.1678040429931e-110,"Pclaf","PCNA clamp associated factor [Source:MGI Symbol;Acc:MGI:1915276]"
"ENSMUSG00000025094",22174.4292553761,-0.901664969016286,0.0404154990970417,-22.3098808417854,2.96284067755093e-110,4.80539837446788e-107,"Slc18a2","solute carrier family 18 (vesicular monoamine), member 2 [Source:MGI Symbol;Acc:MGI:106677]"
"ENSMUSG00000064147",17567.475725961,-1.23743689923051,0.0565088383787869,-21.8981124852681,2.70766929414571e-106,3.95238486866449e-103,"Rab44","RAB44, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:3045302]"
"ENSMUSG00000025196",5698.06802082989,1.22945514989351,0.0566053348374026,21.7197752371766,1.33430204192213e-104,1.77061880963066e-101,"Cpn1","carboxypeptidase N, polypeptide 1 [Source:MGI Symbol;Acc:MGI:2135874]"
"ENSMUSG00000023456",16543.6014665449,0.923131380630842,0.0425696322954677,21.6852091703203,2.8296815187586e-104,3.4420717607766e-101,"Tpi1","triosephosphate isomerase 1 [Source:MGI Symbol;Acc:MGI:98797]"
"ENSMUSG00000079037",19503.1126572705,-1.24567951360501,0.0584380322683897,-21.3162467189852,8.02416487646233e-101,9.00990266936312e-98,"Prnp","prion protein [Source:MGI Symbol;Acc:MGI:97769]"
"ENSMUSG00000028108",13930.4445388909,-0.932577692593213,0.0443535795386183,-21.0259848764005,3.79437375958848e-98,3.95617669776522e-95,"Ecm1","extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:103060]"
"ENSMUSG00000026950",8283.40321869194,-1.62431178487363,0.0788915703523865,-20.5891678618931,3.43212788444296e-94,3.33991804861426e-91,"Neb","nebulin [Source:MGI Symbol;Acc:MGI:97292]"
"ENSMUSG00000120992",12718.0750835614,1.05068344212928,0.051904072079421,20.2427940628931,4.11184492805028e-91,3.75128752592187e-88,"D17H6S56E-5","DNA segment, Chr 17, human D6S56E 5 [Source:MGI Symbol;Acc:MGI:1306799]"
"ENSMUSG00000022346",18108.82678742,-0.782225342848639,0.0388169511671843,-20.1516430149189,2.60328876431361e-90,2.23530624074622e-87,"Myc","myelocytomatosis oncogene [Source:MGI Symbol;Acc:MGI:97250]"
"ENSMUSG00000001865",80134.6896218316,-0.743630141140208,0.0393586679722161,-18.8936816069372,1.28559173778533e-79,1.04254347758069e-76,"Cpa3","carboxypeptidase A3, mast cell [Source:MGI Symbol;Acc:MGI:88479]"
"ENSMUSG00000005338",3096.91443879532,-1.33235596937995,0.0708814830210706,-18.7969539094418,7.99796813689218e-79,6.14454425759027e-76,"Cadm3","cell adhesion molecule 3 [Source:MGI Symbol;Acc:MGI:2137858]"
"ENSMUSG00000063873",5933.67848214526,-1.04892887139371,0.0563686784495144,-18.6083637269084,2.74884828421995e-77,2.00624692023793e-74,"Slc24a3","solute carrier family 24 (sodium/potassium/calcium exchanger), member 3 [Source:MGI Symbol;Acc:MGI:2137513]"
"ENSMUSG00000032218",4111.64288885854,1.03128327207903,0.0556328944893868,18.5372931166788,1.03291396328117e-76,7.17973577238823e-74,"Ccnb2","cyclin B2 [Source:MGI Symbol;Acc:MGI:88311]"
"ENSMUSG00000072188",15854.9007584366,-0.771019816706853,0.0418436525457906,-18.4262073169426,8.09640225905393e-76,5.37196289888228e-73,"Speer4e2","spermatogenesis associated glutamate (E)-rich protein 4E2 [Source:MGI Symbol;Acc:MGI:3809109]"
"ENSMUSG00000000056",2013.0165031039,1.49708521243292,0.0813638081147147,18.3998911447481,1.31628922264823e-75,8.35385816652009e-73,"Narf","nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]"
"ENSMUSG00000034573",11530.7200709774,-0.807618649580899,0.0441015186750279,-18.312717426627,6.55170347522969e-75,3.98480065116366e-72,"Ptpn13","protein tyrosine phosphatase, non-receptor type 13 [Source:MGI Symbol;Acc:MGI:103293]"
"ENSMUSG00000011752",19559.9360714166,0.657179705932015,0.0361395681437897,18.1844925018825,6.84864622767957e-74,3.99878755941755e-71,"Pgam1","phosphoglycerate mutase 1 [Source:MGI Symbol;Acc:MGI:97552]"
"ENSMUSG00000034664",57841.1640222805,-0.706109845417855,0.0390193122074365,-18.0964195797198,3.4006781844639e-73,1.90921920994691e-70,"Itga2b","integrin alpha 2b [Source:MGI Symbol;Acc:MGI:96601]"
"ENSMUSG00000026748",9005.88875587547,-0.826485412817063,0.0463442739412999,-17.8336036478616,3.8761261877361e-71,2.09554866527348e-68,"Plxdc2","plexin domain containing 2 [Source:MGI Symbol;Acc:MGI:1914698]"
"ENSMUSG00000024456",25815.8071235214,-0.752411992644364,0.0429494306850983,-17.5185556744858,1.03417664776214e-68,5.39138447406568e-66,"Diaph1","diaphanous related formin 1 [Source:MGI Symbol;Acc:MGI:1194490]"
"ENSMUSG00000022769",4222.25412594198,1.32867220490867,0.0767877440220777,17.3031806290162,4.45121471866973e-67,2.240495905118e-64,"Sdf2l1","stromal cell-derived factor 2-like 1 [Source:MGI Symbol;Acc:MGI:2149842]"
"ENSMUSG00000060063",3495.73266556264,-1.16352372937572,0.0672704525348176,-17.2962078525264,5.02388901968884e-67,2.44445693401327e-64,"Alox5ap","arachidonate 5-lipoxygenase activating protein [Source:MGI Symbol;Acc:MGI:107505]"
"ENSMUSG00000036478",8683.98019159451,-0.933617125083636,0.0541232875767107,-17.2498228929717,1.12242897007989e-66,5.28519215363101e-64,"Btg1","BTG anti-proliferation factor 1 [Source:MGI Symbol;Acc:MGI:88215]"
"ENSMUSG00000036948",2522.69969337371,-1.26031899058325,0.0735821638539507,-17.1280501221028,9.16761093349915e-66,4.18186302488397e-63,"Trappc14","trafficking protein particle complex 14 [Source:MGI Symbol;Acc:MGI:2385896]"
"ENSMUSG00000024173",1083.51605157893,-1.97790754890934,0.115638680231571,-17.1042037573284,1.38075837158376e-65,6.1075545303055e-63,"Tpsab1","tryptase alpha/beta 1 [Source:MGI Symbol;Acc:MGI:96943]"
"ENSMUSG00000035545",6543.31838848565,-1.02455589440902,0.0600225732971454,-17.0695096549243,2.50293195977965e-65,1.0745675828501e-62,"Leng8","leukocyte receptor cluster (LRC) member 8 [Source:MGI Symbol;Acc:MGI:2142195]"
"ENSMUSG00000031385",917.659039145365,-1.95581130616613,0.116530353112023,-16.7837070251213,3.21147765143151e-63,1.33936969365559e-60,"Plxnb3","plexin B3 [Source:MGI Symbol;Acc:MGI:2154240]"
"ENSMUSG00000012443",8940.2401825543,0.905601409151641,0.054603840896349,16.5849397091074,8.95555219294453e-62,3.63122764890031e-59,"Kif11","kinesin family member 11 [Source:MGI Symbol;Acc:MGI:1098231]"
